S0021|매니지드서비스|S|기업Managed|1||||N|N|N|20120920|99991231|Y|N|N|N|20120920220756|N|
P0052|기업070전화_Centrex(실선)|P|유선전화|1||||N|N|N|20131128|99991231|Y|Y|Y|N|20131128222014|N|
P0053|기업070전화_Centrex(실선_부가)|P|유선전화|1||||N|N|N|20131128|99991231|Y|Y|Y|N|20131128222016|N|
G0131|그룹헌팅(번호할당형)|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222018|N|
G0132|다자간통화(번호할당형)|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222019|N|
G0133|음성포탈(번호할당형)|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222021|N|
G0134|자동응답(번호할당형)|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222023|N|
G0135|고객관리|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222024|N|
G0136|UC|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222025|N|
G0137|착신허용(선택번호)|||2||||N|N|N|20131128|99991231|Y|N|N|N|20131128222027|N|
B0039|광랜FTTH(GB)|I|인터넷|1|069|인터넷 [FTTX_광랜_FTTH_GB]|LD|Y|Y|N|20111201|99991231|Y|Y|Y|N|20140808000222|Y|
B0038|광랜E(GB)|I|인터넷|1|066|인터넷 [FTTX_광랜_E_GB]|LD|Y|Y|N|20111201|99991231|Y|Y|Y|N|20140808000216|Y|
G0146|발신번호변경|||2||||N|N|N|20140529|99991231|Y|N|N|N|20140529221423|N|
G0138|070전화_보안|||2||||N|N|N|20131219|99991231|Y|N|N|N|20130711220653|N|
P0066|기업070전화(DID/DOD)_SSW|P|유선전화|1|070|전용회선 [FTTX]||N|N|N|20140710|99991231|Y|Y|Y|N|20140710220859|N|
P0055|기업070 IMS 중계(BizT대표)|P|유선전화|1||||N|N|N|20131010|99991231|Y|Y|Y|N|20131010222133|N|
P0056|기업070 IMS 중계(BizT내선)|P|유선전화|1||||N|N|N|20131010|99991231|Y|Y|Y|N|20131010222134|N|
G0119|W-Zone Core|||2||||N|N|N|20130214|99991231|Y|N|N|N|20130425223034|N|
S0022|국제서비스|S|기업Managed|1||||N|N|N|20121010|99991231|N|N|N|N|20121010195615|N|
G0139|기업그룹/내선그룹/픽업그룹|||2||||N|N|N|20131125|99991231|Y|N|N|N|20140116000000|N|
G0140|DID광대역 백업서비스|||2||||N|N|N|20131125|99991231|Y|N|N|N|20140116000000|N|
G0141|원넘버멀티폰|||2||||N|N|N|20131125|99991231|Y|N|N|N|20140116000000|N|
P0057|기업IMS시내전화|P|유선전화|1|081|일반전화 [기업IMS]|FV|Y|Y|N|20131125|99991231|Y|Y|Y|N|20140116000000|N|
P0058|기업IMS디지털전화|P|유선전화|1|082|디지털전화 [기업IMS]|FV|Y|Y|N|20131125|99991231|Y|Y|Y|N|20140116000000|N|
P0059|기업IMS시내전화_IP폰|P|유선전화|1||||N|N|N|20131125|99991231|Y|Y|Y|N|20140116000000|N|
P0060|기업070PTAS(IMS실선)|P|유선전화|1||||N|N|N|20131125|99991231|Y|Y|Y|N|20140116000000|N|
P0061|기업IMS시내_DOD중계선|P|유선전화|1|083|중계선 [기업IMS]||Y|N|N|20131125|99991231|Y|Y|N|N|20140116000000|N|
P0062|기업IMS시내_DID중계선|P|유선전화|1|083|중계선 [기업IMS]||Y|N|N|20131125|99991231|Y|Y|N|N|20140116000000|N|
P0063|기업IMS시내_DID/DOD중계선|P|유선전화|1|083|중계선 [기업IMS]||Y|N|N|20131125|99991231|Y|Y|N|N|20140116000000|N|
V0040|영상(BOX)전화|P|유선전화|1||||N|N|N|20140227|99991231|Y|Y|Y|N|20140227221734|Y|
G0148|AD Messaging|||2||||N|N|N|20140828|99991231|Y|N|N|N|20140828220539|N|
S0025|스탬프북|S|기업Managed|1||||N|N|N|20140828|99991231|Y|N|N|N|20140828220619|N|
S0026|컨택센터플러스|S|기업Managed|1||||N|N|N|20140828|99991231|Y|N|N|N|20140828220621|N|
G0158|기업070 착신전환(비가용)|||2||||N|N|N|20150624|99991231|Y|N|N|N|20150624220141|N|
S0029|Video Cloud|S|기업Managed|1||||N|N|N|20150923|99991231|Y|Y|Y|Y|20150923220751|N|
T0012|Btv(IPTV_서라운드STB)|T|TV|1|090|IPTV||Y|N|N|20160525|99991231|Y|Y|Y|N|20160525220913|Y|
G0163|전대번MO솔루션|||2||||N|N|N|20160525|99991231|Y|N|N|N|20160525220958|N|
I0055|WebLog패키지임대|E|기업IDC|1||||N|N|N|20010905|99991231|Y|N|N|N|20170602003000|N|
I0056|(T)멀티멤버스|E|기업IDC|2||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0057|(T)멀티비즈|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0058|(T)사원서비스|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0059|(T)음원사용료|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0060|(T)코로케이션서비스|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0061|(T)프리멤버스|E|기업IDC|2||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0062|(T)프리미엄|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0063|(T)호스팅서비스|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0064|(T)CP-LINE|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0065|(T)Dial-Up 서비스|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0066|(T)DVVB 서비스|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0067|(T)Open ID|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0068|(T)TrueBox|E|기업IDC|1||||N|N|N|20110101|20110101|N|N|N|N|20110304000000|N|
I0069|DDoS 우회차단 일반|E|기업IDC|1||||N|N|N|20100824|99991231|Y|N|N|N|20170602003000|N|
G0164|050_안심번호_멘트링|||2||||N|N|N|20160525|99991231|Y|N|N|N|20160525221622|N|
G0165|050_통계서비스|||2||||N|N|N|20160525|99991231|Y|N|N|N|20160525221624|N|
G0166|B+CRM 연동|||2||||N|N|N|20160525|99991231|N|N|N|N|20160525221650|N|
T0009|Btv(IPTV_B_BOX)|T|TV|1|090|IPTV||Y|N|N|20131114|99991231|Y|Y|Y|N|20160120221353|Y|
G0122|말하는메시징|||2||||N|N|N|20131114|99991231|Y|N|N|N|20131114220601|N|
G0155|안심레터링|||2||||N|N|N|20150108|99991231|Y|N|N|N|20150108220101|N|
T0014|Btv(IPTV_UHD_STB2)_M|T|TV|1||||N|N|N|20160629|99991231|Y|Y|Y|N|20160629221353|N|
G0128|PC통화API|||2||||N|N|N|20130711|99991231|Y|N|N|N|20130711220651|N|
