망장애작업일련번호|망장애작업복구번호|복구소요시간;
10612393400|2785120|10;
10612393400|2785121|10;
10612393400|2785122|10;
10612393400|2784998|4;
10612393400|2784999|4;
10612393400|2785000|4;
10612393400|2785001|10;
10612393400|2785002|10;
10612393400|2785003|10;
10612393400|2785004|10;
10612393400|2785005|11;
10612393400|2785006|10;
10612393400|2785007|10;
10612393400|2785008|10;
10612393400|2785009|15;
10612393400|2785010|14;
10612393400|2785293|4;
10612393400|2785294|4;
10612393400|2785295|9;
10612393400|2785296|10;
10612393400|2785300|9;
10612323000|2784759|10;
10612388800|2784762|4;
10612393400|2785297|9;
10612393400|2785298|9;
10612393400|2785299|10;
10612393400|2785302|10;
10612393400|2785303|10;
10612393400|2785304|10;
10612393400|2785305|10;
10612393400|2785306|15;
10612393400|2785307|16;
10612393400|2785308|14;
10612393400|2784565|5;
10612393400|2784566|4;
10612393400|2784567|4;
10612393400|2784568|10;
10612393400|2784569|11;
10612393400|2784570|10;
10612393400|2785371|10;
10612393400|2785372|10;
10612393400|2785373|10;
10612393400|2785374|15;
10612393400|2784927|5;
10612393400|2784928|4;
10612393400|2784930|9;
10612393400|2784931|9;
10612393400|2784933|10;
10612393400|2784934|10;
10612393400|2784935|10;
10612393400|2784936|10;
10612393400|2784937|14;
10612393400|2784938|15;
10612393400|2784849|4;
10612393400|2784850|10;
10612393400|2784851|10;
10612393400|2784852|10;
10612393400|2784853|11;
10612393400|2784854|10;
10612393400|2784855|14;
10612393400|2784856|14;
10612393400|2784857|15;
10612393400|2784763|5;
10612393400|2784764|4;
10612393400|2784765|9;
10612393400|2784766|9;
10612393400|2784767|9;
10612393400|2784768|10;
10612393400|2784769|11;
10612393400|2784770|14;
10612393400|2785471|15;
10612393400|2785472|15;
10612393400|2785473|18;
9802184|2785205|102;
9802186|2785206|102;
9802187|2785207|103;
9802188|2785208|103;
9802191|2785209|104;
9802173|2785210|44;
10612427900|2785474|5;
9802174|2785211|44;
9802171|2785212|44;
9802172|2785213|45;
10612310000|2785011|235;
9796759|2785380|122;
9802259|2785381|123;
9803002|1|177;
10612431600|2784860|1;
9803003|2784941|187;
10612431500|2785382|5;
9802151|2785385|138;
9802151|2785386|138;
10612430600|2784859|4;
10612431100|2784861|10;
10612431000|2785476|14;
10612431000|2785477|14;
10612409500|2785200|6;
10612295700|2784251|4;
10612318400|2784746|5;
10612430800|2785129|30;
10612425600|2785125|66;
10612425600|2785310|76;
10612425600|2784942|64;
9800795|2785387|160;
9796674|2785388|161;
9796674|2785389|161;
9795733|2785390|162;
10612436400|2785216|5;
10612436100|2785391|5;
10612436500|2785392|5;
10612436300|2785311|5;
10612435700|2784944|5;
10612435800|2784863|5;
10612435500|2785014|5;
10612435900|2785015|5;
10612436200|2785131|5;
10612436000|2785312|5;
10612430700|2785012|10;
10612430500|2785214|4;
10612425600|2785013|76;
5577856103|2785133|5;
10612309600|2784945|321;
10612438300|2785393|10;
10612438200|2785134|11;
10612431200|2785215|5;
10612431200|2785124|5;
10612431200|2785384|5;
10612435400|2784943|5;
9803575|2785219|103;
9802550|1|240;
10612338900|2785016|200;
9797857|1|240;
9797874|1|240;
9800454|1|240;
9803506|1|240;
9802556|1|240;
